Product Name*,Categories*,Product Description,Price*,Discounted Price,Variant SKU Code,Variant Label 1,Variant Value 1,Variant Label 2,Variant Value 2,Tax Value (%),HSN,Product Weight (kg),Image links (up to 24 for each product group),GTIN,Google product category
Compatible - Spiny Shell (40787),Super Mario,"<p>Build the Spiny Shell with this detailed and collectible building set, crafted for display and collection.</p>",1999.0,,40787,,,,,18,95030030,0.5,"/images/compatible___spiny_shell__40787_.jpg,/images/compatible___spiny_shell__40787__1.jpg",,
Compatible - Battle at Arlong Park (75638),One Piece,"<p>Build the Battle at Arlong Park with this detailed and collectible building set, perfect for creative building sessions.</p>",4799.0,,75638,,,,,18,95030030,0.5,"/images/compatible___battle_at_arlong_park__75638_.jpg,/images/compatible___battle_at_arlong_park__75638__1.jpg",,
Compatible - Home Alone (21330),Ideas,"<p>Build the Home Alone with this detailed and collectible building set, great for both building and showcasing.</p>",10999.0,,21330,,,,,18,95030030,0.5,"/images/compatible___home_alone__21330_.jpg,/images/compatible___home_alone__21330__1.jpg",,
Compatible - Retro Record Player (40699),Others,"<p>Build the Retro Record Player with this detailed and collectible building set, perfect for creative building sessions.</p>",1499.0,,40699,,,,,18,95030030,0.5,"/images/compatible___retro_record_player__40699_.jpg,/images/compatible___retro_record_player__40699__1.jpg",,
Compatible - Mini Cooper (10242),Creator Expert,"<p>Build the Mini Cooper with this detailed and collectible building set, designed to stand out in any collection.</p>",4299.0,,10242,,,,,18,95030030,0.5,"/images/compatible___mini_cooper__10242_.jpg,/images/compatible___mini_cooper__10242__1.jpg",,
Compatible - Lamborghini Countach (10337),Icons,"<p>Build the Lamborghini Countach with this detailed and collectible building set, great for both building and showcasing.</p>",5499.0,,10337,,,,,18,95030030,0.5,"/images/compatible___lamborghini_countach__10337_.jpg,/images/compatible___lamborghini_countach__10337__1.jpg",,
Compatible - London Bus (10258),Creator Expert,"<p>Build the London Bus with this detailed and collectible building set, crafted for display and collection.</p>",6499.0,,10258,,,,,18,95030030,0.5,"/images/compatible___london_bus__10258_.jpg,/images/compatible___london_bus__10258__1.jpg",,
Compatible - Chevrolet Corvette (10321),Icons,"<p>Build the Chevrolet Corvette with this detailed and collectible building set, ideal for collectors looking for a unique piece.</p>",5699.0,,10321,,,,,18,95030030,0.5,"/images/compatible___chevrolet_corvette__10321_.jpg,/images/compatible___chevrolet_corvette__10321__1.jpg",,
Compatible - Newbury Haunted High School (70425),Others,"<p>Build the Newbury Haunted High School with this detailed and collectible building set, perfect for creative building sessions.</p>",5999.0,,70425,,,,,18,95030030,0.5,"/images/compatible___newbury_haunted_high_school__70425_.jpg,/images/compatible___newbury_haunted_high_school__70425__1.jpg",,
Compatible - Manchester United Old Trafford (10272),Icons,"<p>Build the Manchester United Old Trafford with this detailed and collectible building set, crafted for display and collection.</p>",10499.0,,10272,,,,,18,95030030,0.5,"/images/compatible___manchester_united_old_trafford__10272_.jpg,/images/compatible___manchester_united_old_trafford__10272__1.jpg",,
Compatible - Ferris Wheel (10247),Creator Expert,"<p>Build the Ferris Wheel with this detailed and collectible building set, designed for fans who enjoy detailed builds.</p>",8999.0,,10247,,,,,18,95030030,0.5,"/images/compatible___ferris_wheel__10247_.jpg,/images/compatible___ferris_wheel__10247__1.jpg",,
Compatible - Barcelona Camp Nou (10284),Icons,"<p>Build the Barcelona Camp Nou with this detailed and collectible building set, perfect for adding to your display shelf.</p>",15999.0,,10284,,,,,18,95030030,0.5,/images/compatible___barcelona_camp_nou__10284_.jpg,,
Compatible - Klombo (77077),Fortnite,"<p>Build the Klombo with this detailed and collectible building set, perfect for creative building sessions.</p>",5499.0,,77077,,,,,18,95030030,0.5,"/images/compatible___klombo__77077_.jpg,/images/compatible___klombo__77077__1.jpg",,
Compatible - Football (43019),Others,"<p>Build the Football with this detailed and collectible building set, designed to stand out in any collection.</p>",5499.0,,43019,,,,,18,95030030,0.5,"/images/compatible___football__43019_.jpg,/images/compatible___football__43019__1.jpg",,
Compatible - World Cup Trophy (43020),Others,"<p>Build the World Cup Trophy with this detailed and collectible building set, designed to stand out in any collection.</p>",7999.0,,43020,,,,,18,95030030,0.5,"/images/compatible___world_cup_trophy__43020_.jpg,/images/compatible___world_cup_trophy__43020__1.jpg",,
Compatible - Dalmations Puppy (43269),Disney,"<p>Build the Dalmations Puppy with this detailed and collectible building set, perfect for adding to your display shelf.</p>",4599.0,,43269,,,,,18,95030030,0.5,"/images/compatible___dalmations_puppy__43269_.jpg,/images/compatible___dalmations_puppy__43269__1.jpg",,
Compatible - Batman Forever Batmobile (76304),DC,"<p>Build the Batman Forever Batmobile with this detailed and collectible building set, designed for fans who enjoy detailed builds.</p>",4499.0,,76304,,,,,18,95030030,0.5,"/images/compatible___batman_forever_batmobile__76304_.jpg,/images/compatible___batman_forever_batmobile__76304__1.jpg",,
Compatible - Arkham Asylum (76300),DC,"<p>Build the Arkham Asylum with this detailed and collectible building set, perfect for adding to your display shelf.</p>",8999.0,,76300,,,,,18,95030030,0.5,"/images/compatible___arkham_asylum__76300_.jpg,/images/compatible___arkham_asylum__76300__1.jpg",,
Compatible - The City of Lanterns (80036),Others,"<p>Build the The City of Lanterns with this detailed and collectible building set, perfect for adding to your display shelf.</p>",8499.0,,80036,,,,,18,95030030,0.5,"/images/compatible___the_city_of_lanterns__80036_.jpg,/images/compatible___the_city_of_lanterns__80036__1.jpg",,
Compatible - Flower Pot (40588),Others,"<p>Build the Flower Pot with this detailed and collectible building set, designed to stand out in any collection.</p>",1499.0,,40588,,,,,18,95030030,0.5,"/images/compatible___flower_pot__40588_.jpg,/images/compatible___flower_pot__40588__1.jpg",,
Compatible - Plum Blossom (10369),Botanicals,"<p>Build the Plum Blossom with this detailed and collectible building set, perfect for adding to your display shelf.</p>",1499.0,,10369,,,,,18,95030030,0.5,"/images/compatible___plum_blossom__10369_.jpg,/images/compatible___plum_blossom__10369__1.jpg",,
Compatible - Chrysanthemum (10368),Botanicals,"<p>Build the Chrysanthemum with this detailed and collectible building set, perfect for adding to your display shelf.</p>",1499.0,,10368,,,,,18,95030030,0.5,"/images/compatible___chrysanthemum__10368_.jpg,/images/compatible___chrysanthemum__10368__1.jpg",,
Compatible - Bird of Paradise (10289),Creator Expert,"<p>Build the Bird of Paradise with this detailed and collectible building set, perfect for creative building sessions.</p>",3499.0,,10289,,,,,18,95030030,0.5,"/images/compatible___bird_of_paradise__10289_.jpg,/images/compatible___bird_of_paradise__10289__1.jpg",,
Compatible - Flower Arrangement (10345),Botanicals,"<p>Build the Flower Arrangement with this detailed and collectible building set, designed for fans who enjoy detailed builds.</p>",3499.0,,10345,,,,,18,95030030,0.5,"/images/compatible___flower_arrangement__10345_.jpg,/images/compatible___flower_arrangement__10345__1.jpg",,
Compatible - Orchid (10343),Botanicals,"<p>Build the Orchid with this detailed and collectible building set, perfect for adding to your display shelf.</p>",1499.0,,10343,,,,,18,95030030,0.5,/images/compatible___orchid__10343_.jpg,,
Compatible - Singapore City Skyline (21057),Architecture,"<p>Build the Singapore City Skyline with this detailed and collectible building set, perfect for adding to your display shelf.</p>",3199.0,,21057,,,,,18,95030030,0.5,"/images/compatible___singapore_city_skyline__21057_.jpg,/images/compatible___singapore_city_skyline__21057__1.jpg",,
Compatible - Dubai Skyline (21052),Architecture,"<p>Build the Dubai Skyline with this detailed and collectible building set, perfect for creative building sessions.</p>",2999.0,,21052,,,,,18,95030030,0.5,"/images/compatible___dubai_skyline__21052_.jpg,/images/compatible___dubai_skyline__21052__1.jpg",,
Compatible - The Empire State Building (21046),Architecture,"<p>Build the The Empire State Building with this detailed and collectible building set, ideal for collectors looking for a unique piece.</p>",4999.0,,21046,,,,,18,95030030,0.5,"/images/compatible___the_empire_state_building__21046_.jpg,/images/compatible___the_empire_state_building__21046__1.jpg",,
Compatible - Paris - City of Love (21064),Architecture,"<p>Build the Paris City of Love with this detailed and collectible building set, designed for fans who enjoy detailed builds.</p>",4499.0,,21064,,,,,18,95030030,0.5,"/images/compatible___paris___city_of_love__21064_.jpg,/images/compatible___paris___city_of_love__21064__1.jpg",,
Compatible - Notre Dame de Paris (21061),Architecture,"<p>Build the Notre Dame de Paris with this detailed and collectible building set, ideal for collectors looking for a unique piece.</p>",9999.0,,21061,,,,,18,95030030,0.5,"/images/compatible___notre_dame_de_paris__21061_.jpg,/images/compatible___notre_dame_de_paris__21061__1.jpg",,
Compatible - Trevi Fountain (21062),Architecture,"<p>Build the Trevi Fountain with this detailed and collectible building set, great for both building and showcasing.</p>",4799.0,,21062,,,,,18,95030030,0.5,"/images/compatible___trevi_fountain__21062_.jpg,/images/compatible___trevi_fountain__21062__1.jpg",,
Compatible - Tokyo Skyline (21051),Architecture,"<p>Build the Tokyo Skyline with this detailed and collectible building set, crafted for display and collection.</p>",2499.0,,21051,,,,,18,95030030,0.5,"/images/compatible___tokyo_skyline__21051_.jpg,/images/compatible___tokyo_skyline__21051__1.jpg",,
Compatible - Paris (21044),Architecture,"<p>Build the Paris with this detailed and collectible building set, perfect for adding to your display shelf.</p>",2499.0,,21044,,,,,18,95030030,0.5,"/images/compatible___paris__21044_.jpg,/images/compatible___paris__21044__1.jpg",,
Compatible - Hogwarts Great Hall - Small (75954),Harry Potter,"<p>Build the iconic Hogwarts Great Hall in a compact format, perfect for magical displays and collectors.</p>",4999.0,,75954,,,,,18,95030030,0.5,/images/compatible___hogwarts_great_hall___small__75954_.jpg,,
Compatible - Hogwarts Express Train Set with Hogsmeade Station (76423),Harry Potter,<p>Recreate the magical Hogwarts Express with Hogsmeade Station in this detailed building set for fans and collectors.</p>,5499.0,,76423,,,,,18,95030030,0.5,"/images/compatible___hogwarts_express_train_set_with_hogsmeade_station__76423_.jpg,/images/compatible___hogwarts_express_train_set_with_hogsmeade_station__76423__1.jpg",,
Compatible - Eevee (72151),Pokemon,"<p>Bring the charm of Eevee to life with this beautifully detailed building set. Perfect for Pokémon fans and collectors, this set captures Eevee’s iconic look with high-quality pieces and a fun, engaging build experience.</p>",2999.0,,72151,,,,,18,95030030,0.5,"/images/compatible___eevee__72151_.jpg,/images/compatible___eevee__72151__1.jpg",,
Compatible - The Old Town 15th Anniversary (71861),Ninjago,"<p>Bring home the The Old Town 15th Anniversary building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",11499.0,,71861,,,,,18,95030030,0.5,"/images/compatible___the_old_town_15th_anniversary__71861_.jpg,/images/compatible___the_old_town_15th_anniversary__71861__1.jpg",,
Compatible - Ninjago City (70620),Ninjago,"<p>Bring home the Ninjago City building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",10999.0,,70620,,,,,18,95030030,0.5,"/images/compatible___ninjago_city__70620_.jpg,/images/compatible___ninjago_city__70620__1.jpg",,
Compatible - Tropical Aquarium (10366),Icons,"<p>Bring home the Tropical Aquarium building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",11499.0,,10366,,,,,18,95030030,0.5,"/images/compatible___tropical_aquarium__10366_.jpg,/images/compatible___tropical_aquarium__10366__1.jpg",,
Compatible - City Gardens (71741),Ninjago,"<p>Bring home the City Gardens building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",9999.0,,71741,,,,,18,95030030,0.5,"/images/compatible___city_gardens__71741_.jpg,/images/compatible___city_gardens__71741__1.jpg",,
Compatible - City Docks (70657),Ninjago,"<p>Bring home the City Docks building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",9499.0,,70657,,,,,18,95030030,0.5,"/images/compatible___city_docks__70657_.jpg,/images/compatible___city_docks__70657__1.jpg",,
Compatible - City Workshops (71837),Ninjago,"<p>Bring home the City Workshops building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",8499.0,,71837,,,,,18,95030030,0.5,"/images/compatible___city_workshops__71837_.jpg,/images/compatible___city_workshops__71837__1.jpg",,
Compatible - The Botanical Garden (21353),Ideas,"<p>Bring home the The Botanical Garden building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",7999.0,,21353,,,,,18,95030030,0.5,"/images/compatible___the_botanical_garden__21353_.jpg,/images/compatible___the_botanical_garden__21353__1.jpg",,
Compatible - The Guardians Ship (76193),Marvel,"<p>Bring home the The Guardians Ship building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",6899.0,,76193,,,,,18,95030030,0.5,"/images/compatible___the_guardians_ship__76193_.jpg,/images/compatible___the_guardians_ship__76193__1.jpg",,
Compatible - Volkswagen T2 Camper Van (10279),Icons,"<p>Bring home the Volkswagen T2 Camper Van building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",7199.0,,10279,,,,,18,95030030,0.5,"/images/compatible___volkswagen_t2_camper_van__10279_.jpg,/images/compatible___volkswagen_t2_camper_van__10279__1.jpg",,
Compatible - Tudor Corner (10350),Icons,"<p>Bring home the Tudor Corner building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",8399.0,,10350,,,,,18,95030030,0.5,"/images/compatible___tudor_corner__10350_.jpg,/images/compatible___tudor_corner__10350__1.jpg",,
Compatible - Peely Bone (77072),Fortnite,"<p>Bring home the Peely Bone building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",5799.0,,77072,,,,,18,95030030,0.5,"/images/compatible___peely_bone__77072_.jpg,/images/compatible___peely_bone__77072__1.jpg",,
Compatible - The Insect Collection (21342),Ideas,"<p>Bring home the The Insect Collection building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",6499.0,,21342,,,,,18,95030030,0.5,/images/compatible___the_insect_collection__21342_.jpg,,
Compatible - The Lord of the Rings The Shire (10354),The Lord of the Rings,"<p>Bring home the The Lord of the Rings The Shire building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",6499.0,,10354,,,,,18,95030030,0.5,"/images/compatible___the_lord_of_the_rings_the_shire__10354_.jpg,/images/compatible___the_lord_of_the_rings_the_shire__10354__1.jpg",,
Compatible - The Baratie Floating Restaurant (75640),Others,"<p>Bring home the The Baratie Floating Restaurant building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",7499.0,,75640,,,,,18,95030030,0.5,"/images/compatible___the_baratie_floating_restaurant__75640_.jpg,/images/compatible___the_baratie_floating_restaurant__75640__1.jpg",,
Compatible - Triwizard Tournament The Arrival (76440),Harry Potter,"<p>Bring home the Triwizard Tournament The Arrival building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",5199.0,,76440,,,,,18,95030030,0.5,/images/compatible___triwizard_tournament_the_arrival__76440_.jpg,,
Compatible - Tuxedo Cat (21349),Ideas,"<p>Bring home the Tuxedo Cat building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",5999.0,,21349,,,,,18,95030030,0.5,"/images/compatible___tuxedo_cat__21349_.jpg,/images/compatible___tuxedo_cat__21349__1.jpg",,
Compatible - Battle Bus (77073),Fortnite,"<p>Bring home the Battle Bus building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",4999.0,,77073,,,,,18,95030030,0.5,"/images/compatible___battle_bus__77073_.jpg,/images/compatible___battle_bus__77073__1.jpg",,
Compatible - Hogwarts Express (75955),Harry Potter,"<p>Bring home the Hogwarts Express building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",4199.0,,75955,,,,,18,95030030,0.5,/images/compatible___hogwarts_express__75955_.jpg,,
Compatible - Carnage (76199),Marvel,"<p>Bring home the Carnage building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",3199.0,,76199,,,,,18,95030030,0.5,"/images/compatible___carnage__76199_.jpg,/images/compatible___carnage__76199__1.jpg",,
Compatible - LOVE (31214),Others,"<p>Bring home the LOVE building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2999.0,,31214,,,,,18,95030030,0.5,"/images/compatible___love__31214_.jpg,/images/compatible___love__31214__1.jpg",,
Compatible - Chomping Monster Book of Monsters (76449),Harry Potter,"<p>Bring home the Chomping Monster Book of Monsters building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2999.0,,76449,,,,,18,95030030,0.5,/images/compatible___chomping_monster_book_of_monsters__76449_.jpg,,
Compatible - Hibiscus (10372),Botanicals,"<p>Bring home the Hibiscus building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2999.0,,10372,,,,,18,95030030,0.5,"/images/compatible___hibiscus__10372_.jpg,/images/compatible___hibiscus__10372__1.jpg",,
Compatible - Hedwig (75979),Harry Potter,"<p>Bring home the Hedwig building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2999.0,,75979,,,,,18,95030030,0.5,/images/compatible___hedwig__75979_.jpg,,
Compatible - Bouquet of Pink Roses (10374),Botanicals,"<p>Bring home the Bouquet of Pink Roses building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2999.0,,10374,,,,,18,95030030,0.5,"/images/compatible___bouquet_of_pink_roses__10374_.jpg,/images/compatible___bouquet_of_pink_roses__10374__1.jpg",,
Compatible - Pretty Pink Flower Bouquet (10342),Botanicals,"<p>Bring home the Pretty Pink Flower Bouquet building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2799.0,,10342,,,,,18,95030030,0.5,"/images/compatible___pretty_pink_flower_bouquet__10342_.jpg,/images/compatible___pretty_pink_flower_bouquet__10342__1.jpg",,
Compatible - Kylo Rens Command Shuttle (75406),Star Wars,"<p>Bring home the Kylo Rens Command Shuttle building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2999.0,,75406,,,,,18,95030030,0.5,"/images/compatible___kylo_rens_command_shuttle__75406_.jpg,/images/compatible___kylo_rens_command_shuttle__75406__1.jpg",,
Compatible - Leonardo da Vincis Flying Machine (10363),Icons,"<p>Bring home the Leonardo da Vincis Flying Machine building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",2999.0,,10363,,,,,18,95030030,0.5,"/images/compatible___leonardo_da_vincis_flying_machine__10363_.jpg,/images/compatible___leonardo_da_vincis_flying_machine__10363__1.jpg",,
"Compatible - Venusaur, Charizard and Blastoise (72153)",Pokemon,"<p>Bring home the Venusaur, Charizard and Blastoise building set, designed for creativity, display, and an engaging build experience for fans and collectors.</p>",14999.0,,72153,,,,,18,95030030,0.5,"/images/compatible___venusaur__charizard_and_blastoise__72153_.jpg,/images/compatible___venusaur__charizard_and_blastoise__72153__1.jpg",,
Compatible - McLaren MCL39 F1 Car (42228),Technic,"<p>Experience the thrill of Formula 1 with this detailed McLaren MCL39 F1 Car building set, perfect for racing fans, collectors, and display enthusiasts.</p>",3999.0,,42228,,,,,18,95030030,0.5,"/images/compatible___mclaren_mcl39_f1_car__42228_.jpg,/images/compatible___mclaren_mcl39_f1_car__42228__1.jpg",,
Compatible - Pikachu and Poké Ball (72152),Pokemon,"<p>Bring your favorite Pokémon to life with this Pikachu and Poké Ball Building Set. Designed for fun and creativity, this set lets you build an iconic duo perfect for play or display.</p>",5999.0,,72152,,,,,18,95030030,0.5,"/images/compatible___pikachu_and_pok__ball__72152_.jpg,/images/compatible___pikachu_and_pok__ball__72152__1.jpg",,
Compatible - Star Trek U.S.S. Enterprise NCC-1701-D (10356),Icons,<p>Build your own Star Trek U.S.S. Enterprise NCC-1701-D. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,9999.0,,10356,,,,,18,95030030,0.5,"/images/compatible___star_trek_u_s_s__enterprise_ncc_1701_d__10356_.jpg,/images/compatible___star_trek_u_s_s__enterprise_ncc_1701_d__10356__1.jpg",,
Compatible - Queen Annes Revenge (4195),Others,<p>Build your own Queen Annes Revenge. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,4699.0,,4195,,,,,18,95030030,0.5,/images/compatible___queen_annes_revenge__4195_.jpg,,
Compatible - Silent Mary (71042),Disney,<p>Build your own Silent Mary. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,6999.0,,71042,,,,,18,95030030,0.5,"/images/compatible___silent_mary__71042_.jpg,/images/compatible___silent_mary__71042__1.jpg",,
Compatible - Crocodile Locomotive (10277),Creator,<p>Build your own Crocodile Locomotive. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,4999.0,,10277,,,,,18,95030030,0.5,"/images/compatible___crocodile_locomotive__10277_.jpg,/images/compatible___crocodile_locomotive__10277__1.jpg",,
Compatible - Shopping Street (11371),Icons,<p>Build your own Shopping Street. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,9999.0,,11371,,,,,18,95030030,0.5,"/images/compatible___shopping_street__11371_.jpg,/images/compatible___shopping_street__11371__1.jpg",,
Compatible - Hogwarts Moment: Charms Class (76385),Harry Potter,<p>Build your own Hogwarts Moment: Charms Class. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,1699.0,,76385,,,,,18,95030030,0.5,/images/compatible___hogwarts_moment__charms_class__76385_.jpg,,
Compatible - Hogwarts Moment Herbology Class (76384),Harry Potter,<p>Build your own Hogwarts Moment Herbology Class. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,1699.0,,76384,,,,,18,95030030,0.5,/images/compatible___hogwarts_moment_herbology_class__76384_.jpg,,
Compatible - Hogwarts Moment Defense Class (76397),Harry Potter,<p>Build your own Hogwarts Moment Defense Class. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,1899.0,,76397,,,,,18,95030030,0.5,/images/compatible___hogwarts_moment_defense_class__76397_.jpg,,
Compatible - Hogwarts Moment Divination Class (76396),Harry Potter,<p>Build your own Hogwarts Moment Divination Class. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,1999.0,,76396,,,,,18,95030030,0.5,/images/compatible___hogwarts_moment_divination_class__76396_.jpg,,
Compatible - Up-Scaled Minifigure (40649),Others,<p>Build your own Up-Scaled Minifigure. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,2999.0,,40649,,,,,18,95030030,0.5,/images/compatible___up_scaled_minifigure__40649_.jpg,,
Compatible - Wolverine Adamantium Claws (76250),Marvel,<p>Build your own Wolverine Adamantium Claws. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,2999.0,,76250,,,,,18,95030030,0.5,/images/compatible___wolverine_adamantium_claws__76250_.jpg,,
Compatible - Hungarian Horntail Dragon (76406),Harry Potter,<p>Build your own Hungarian Horntail Dragon. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,2999.0,,76406,,,,,18,95030030,0.5,"/images/compatible___hungarian_horntail_dragon__76406_.jpg,/images/compatible___hungarian_horntail_dragon__76406__1.jpg",,
Compatible - Book Nook Hogwarts Express (76450),Harry Potter,<p>Build your own Book Nook Hogwarts Express. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,3499.0,,76450,,,,,18,95030030,0.5,"/images/compatible___book_nook_hogwarts_express__76450_.jpg,/images/compatible___book_nook_hogwarts_express__76450__1.jpg",,
Compatible - T-rex (31151),Creator,<p>Build your own T-rex. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,3499.0,,31151,,,,,18,95030030,0.5,/images/compatible___t_rex__31151_.jpg,,
Compatible - Medieval Dragon (31161),Creator,<p>Build your own Medieval Dragon. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,3499.0,,31161,,,,,18,95030030,0.5,"/images/compatible___medieval_dragon__31161_.jpg,/images/compatible___medieval_dragon__31161__1.jpg",,
Compatible - Iron Man Mark 3 Collectors Edition (76344),Marvel,<p>Build your own Iron Man Mark 3 Collectors Edition. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,3999.0,,76344,,,,,18,95030030,0.5,"/images/compatible___iron_man_mark_3_collectors_edition__76344_.jpg,/images/compatible___iron_man_mark_3_collectors_edition__76344__1.jpg",,
Compatible - Wolf Mask Shadow Dojo (71813),Ninjago,<p>Build your own Wolf Mask Shadow Dojo. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,4999.0,,71813,,,,,18,95030030,0.5,/images/compatible___wolf_mask_shadow_dojo__71813_.jpg,,
Compatible - Ninja Dojo Temple (71767),Ninjago,<p>Build your own Ninja Dojo Temple. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for fans and collectors.</p>,5999.0,,71767,,,,,18,95030030,0.5,/images/compatible___ninja_dojo_temple__71767_.jpg,,
